order_item_id,order_id,product_id,quantity,unit_price,discount
1,3957,236,3,383.46,15
2,9468,179,5,237.43,15
3,560,274,3,53.21,15
4,8507,9,5,150.86,0
5,8054,95,5,69.49,0
6,6235,74,5,224.24,0
7,7734,73,2,222.38,10
8,899,280,4,319.72,15
9,2659,272,1,120.04,0
10,8632,190,2,22.53,0
11,3936,248,1,149.84,0
12,9845,243,1,297.01,15
13,1384,22,5,193.70,15
14,2373,169,5,65.85,0
15,5938,84,5,124.05,15
16,8360,239,3,320.95,10
17,4498,45,5,382.91,15
18,1336,290,2,25.70,0
19,3186,7,4,263.49,0
20,3632,86,1,365.04,5
21,5546,70,1,315.23,15
22,5878,154,5,343.92,5
23,6176,45,2,382.91,10
24,8572,22,1,193.70,0
25,2730,87,4,84.63,0
26,7472,151,4,214.50,15
27,3666,195,4,282.87,15
28,9244,159,1,217.33,10
29,5943,171,2,132.85,15
30,8381,62,3,78.99,0
31,5107,87,1,84.63,5
32,8083,182,3,183.61,0
33,1893,42,4,309.17,10
34,6361,179,3,237.43,0
35,8904,125,3,327.79,0
36,1013,140,4,120.30,10
37,2688,62,4,78.99,15
38,8958,85,1,114.41,0
39,1794,281,5,263.43,15
40,4754,54,4,316.28,0
41,3973,181,5,259.05,0
42,2550,289,4,90.69,10
43,7145,18,4,318.44,10
44,9759,82,2,278.93,0
45,8410,71,2,167.32,5
46,6829,216,1,301.09,5
47,6558,12,3,161.29,0
48,8974,196,1,160.55,0
49,6822,243,1,297.01,0
50,1774,18,1,318.44,10
51,7653,14,3,106.54,15
52,1636,88,1,42.74,0
53,4230,207,3,326.57,5
54,2539,292,1,136.17,0
55,1945,244,3,146.67,15
56,5266,247,1,202.30,15
57,9144,27,4,65.87,0
58,7170,223,4,23.99,10
59,7614,32,1,318.14,0
60,7756,182,4,183.61,0
61,6327,204,2,197.94,0
62,6322,245,1,310.10,0
63,7201,31,5,136.27,0
64,8910,151,4,214.50,5
65,6621,126,2,68.11,0
66,2796,165,4,273.91,10
67,173,47,5,202.34,10
68,6872,98,1,115.13,0
69,7713,39,3,49.89,0
70,3684,260,5,294.26,15
71,4156,16,5,386.04,0
72,9352,189,5,299.32,0
73,9567,40,2,226.87,0
74,5076,117,3,350.39,10
75,1319,263,1,116.93,0
76,429,153,4,174.41,5
77,6199,227,4,303.25,0
78,6502,151,4,214.50,0
79,5511,225,2,338.57,0
80,7112,41,4,89.26,0
