order_id,customer_id,order_date,status,payment_method,shipping_country,shipping_city
1,1125,2021-07-13 22:05:14,refunded,apple_pay,Netherlands,New York
2,1112,2020-06-28 13:31:56,paid,paypal,Australia,Bangalore
3,227,2021-09-16 04:16:38,shipped,bank_transfer,India,Vancouver
4,1799,2022-09-27 10:55:05,cancelled,google_pay,United Kingdom,Sydney
5,437,2023-12-14 10:39:35,cancelled,paypal,Australia,Amsterdam
6,1382,2020-02-23 04:43:08,cancelled,google_pay,Spain,New York
7,653,2020-11-05 20:49:45,paid,credit_card,United Kingdom,Chicago
8,152,2020-11-07 03:08:17,shipped,credit_card,Italy,Los Angeles
9,215,2023-01-20 15:02:10,paid,bank_transfer,India,Los Angeles
10,1660,2023-07-10 11:24:21,shipped,credit_card,United Kingdom,Amsterdam
11,555,2021-02-05 01:28:14,shipped,paypal,Netherlands,Madrid
12,852,2024-01-27 01:39:51,shipped,bank_transfer,United States,Toronto
13,829,2021-07-01 10:50:08,shipped,apple_pay,United Kingdom,Berlin
14,533,2024-07-30 20:47:15,paid,credit_card,Italy,Los Angeles
15,1378,2023-05-07 07:52:21,shipped,paypal,Italy,New York
16,372,2020-12-08 09:43:58,shipped,google_pay,Germany,Sydney
17,1351,2020-11-16 15:58:37,refunded,bank_transfer,Australia,Paris
18,1343,2020-08-19 22:10:09,refunded,google_pay,France,Paris
19,1488,2020-06-20 20:33:23,paid,google_pay,France,Mumbai
20,1231,2022-08-24 12:38:38,shipped,credit_card,Germany,Amsterdam
21,977,2021-05-06 18:38:01,paid,apple_pay,India,Vancouver
22,63,2020-06-02 09:23:57,cancelled,apple_pay,United Kingdom,Madrid
23,595,2022-03-12 04:45:46,paid,apple_pay,Spain,London
24,470,2022-06-07 15:52:04,shipped,paypal,Australia,Toronto
25,1886,2021-05-11 08:00:21,paid,apple_pay,Italy,Rome
26,1633,2021-01-05 17:54:04,cancelled,google_pay,United Kingdom,Vancouver
27,1050,2021-06-04 23:31:45,shipped,google_pay,France,Chicago
28,648,2021-12-17 23:18:27,shipped,paypal,Spain,New York
29,1287,2022-01-09 00:42:47,shipped,paypal,United Kingdom,Vancouver
30,1954,2022-04-22 02:00:33,paid,paypal,Netherlands,Sydney
31,703,2022-09-02 08:31:22,shipped,credit_card,Italy,Melbourne
32,942,2021-06-07 20:24:09,refunded,apple_pay,France,London
33,1910,2023-07-11 17:26:12,shipped,google_pay,United States,New York
34,440,2023-05-07 02:13:42,paid,paypal,Netherlands,Sydney
35,1313,2024-01-11 16:29:32,shipped,paypal,France,Chicago
36,1431,2022-06-01 01:17:07,cancelled,paypal,Australia,Melbourne
37,309,2020-06-02 02:04:47,paid,bank_transfer,Germany,Madrid
38,1613,2020-01-04 15:07:12,shipped,paypal,Spain,Madrid
39,154,2021-11-08 15:18:25,shipped,paypal,France,Berlin
40,1188,2020-07-05 14:12:26,pending,credit_card,Canada,Madrid
41,693,2021-12-23 17:12:37,shipped,paypal,United Kingdom,Los Angeles
42,1357,2024-11-06 04:29:20,shipped,credit_card,India,New York
43,225,2020-09-14 18:52:04,shipped,credit_card,Australia,Rome
44,1657,2021-11-11 17:26:31,paid,credit_card,France,Madrid
45,477,2020-11-21 18:51:48,paid,paypal,Netherlands,Toronto
46,449,2022-06-14 19:38:21,paid,credit_card,Italy,Vancouver
47,1990,2023-07-24 19:58:03,shipped,paypal,Spain,Rome
48,153,2021-08-01 21:25:41,pending,bank_transfer,Australia,Paris
49,1340,2021-06-11 22:41:14,cancelled,apple_pay,India,Toronto
50,1462,2021-06-09 18:47:55,shipped,paypal,Australia,Mumbai
51,1095,2023-01-16 10:25:22,shipped,apple_pay,France,Sydney
52,24,2023-05-05 08:06:39,shipped,paypal,Spain,Mumbai
53,424,2024-01-20 06:51:02,paid,paypal,India,Sydney
54,832,2024-11-06 03:54:03,shipped,credit_card,Spain,Berlin
55,845,2023-07-09 13:57:57,shipped,paypal,Italy,Vancouver
56,1151,2024-11-06 20:37:21,paid,google_pay,United States,New York
57,1922,2022-05-05 05:52:02,paid,paypal,Spain,Melbourne
58,683,2020-07-22 12:54:57,paid,apple_pay,United States,Mumbai
59,584,2022-05-04 00:33:03,paid,credit_card,Netherlands,Los Angeles
60,710,2023-01-17 05:13:21,shipped,paypal,Italy,Los Angeles
61,1704,2021-11-27 07:37:25,paid,paypal,Canada,Madrid
62,278,2021-08-02 21:01:34,shipped,apple_pay,Australia,Toronto
63,68,2021-08-02 13:19:24,shipped,paypal,Italy,Vancouver
64,1650,2020-08-18 20:23:21,refunded,bank_transfer,Australia,Berlin
65,1623,2021-09-30 11:17:47,refunded,credit_card,France,Melbourne
66,113,2020-02-26 11:06:16,shipped,google_pay,United States,Bangalore
67,178,2022-02-27 18:17:06,paid,paypal,United Kingdom,London
68,1771,2022-03-24 23:37:47,refunded,apple_pay,France,Madrid
69,198,2021-11-20 18:36:59,cancelled,google_pay,Canada,Amsterdam
70,1878,2021-10-19 20:52:29,shipped,apple_pay,France,London
71,1340,2022-04-04 11:30:26,paid,credit_card,United States,Madrid
72,514,2023-10-05 21:50:20,refunded,bank_transfer,Canada,Toronto
73,341,2022-01-09 22:05:50,paid,paypal,India,Melbourne
74,1128,2024-07-03 04:45:16,pending,credit_card,Canada,Bangalore
75,1556,2022-03-29 00:50:34,paid,paypal,United Kingdom,Vancouver
76,344,2023-06-21 02:37:38,cancelled,credit_card,Australia,Mumbai
77,1664,2024-12-16 05:39:17,shipped,bank_transfer,Germany,Amsterdam
78,1360,2024-04-24 17:45:52,paid,apple_pay,Italy,New York
79,462,2020-10-12 18:30:51,shipped,google_pay,India,Los Angeles
80,1250,2022-08-03 20:40:28,paid,google_pay,Canada,London
81,620,2021-04-12 19:47:56,paid,paypal,Australia,Berlin
82,576,2021-02-06 07:51:01,shipped,credit_card,India,Mumbai
83,976,2020-02-13 16:24:17,paid,bank_transfer,United States,Sydney
84,341,2021-04-12 07:17:16,paid,bank_transfer,India,Vancouver
85,531,2021-09-28 17:16:47,paid,bank_transfer,Australia,Madrid
86,1552,2024-08-31 22:15:16,shipped,google_pay,Canada,Toronto
87,1595,2021-12-09 22:59:45,shipped,credit_card,United Kingdom,Paris
88,537,2023-05-13 11:59:32,pending,bank_transfer,Spain,Rome
89,815,2020-05-15 06:30:04,paid,credit_card,France,Rome
90,1337,2024-01-25 06:10:00,refunded,credit_card,France,Berlin
91,1966,2022-05-29 05:17:41,shipped,bank_transfer,Netherlands,Melbourne
92,797,2020-03-04 11:08:33,paid,bank_transfer,Canada,Toronto
93,668,2024-03-04 22:53:45,shipped,bank_transfer,United States,Los Angeles
94,1435,2022-01-06 07:31:14,paid,google_pay,Germany,Amsterdam
95,1977,2020-11-23 22:01:47,paid,paypal,France,Chicago
96,1056,2021-06-09 06:07:54,paid,credit_card,Netherlands,New York
97,1662,2021-05-28 07:09:42,cancelled,paypal,Canada,Chicago
98,1558,2024-11-04 13:33:34,cancelled,bank_transfer,India,Los Angeles
99,122,2024-03-30 06:29:12,paid,google_pay,India,Toronto
