product_id,product_name,category,subcategory,price,cost,is_discontinued
1,Wireless Mouse,Electronics,,281.65,120.60,false
2,Mechanical Keyboard,Electronics,,340.09,183.48,false
3,Bluetooth Speaker,Electronics,,369.07,226.31,true
4,USB-C Cable,Electronics,,296.68,130.06,false
5,Laptop Stand,Electronics,,235.25,101.39,false
6,Webcam,Electronics,,190.26,102.02,false
7,Noise-Cancelling Headphones,Electronics,,263.49,155.55,false
8,Portable SSD,Electronics,,357.93,235.09,false
9,Smartwatch,Electronics,,150.86,82.15,false
10,Gaming Controller,Electronics,,228.01,103.46,false
11,Ceramic Mug,Home & Kitchen,,176.97,89.96,false
12,Stainless Steel Pan,Home & Kitchen,,161.29,76.57,true
13,Electric Kettle,Home & Kitchen,,97.73,67.30,false
14,Kitchen Knife Set,Home & Kitchen,,106.54,58.97,true
15,Cutting Board,Home & Kitchen,,254.29,154.59,false
16,Blender,Home & Kitchen,,386.04,198.24,false
17,Toaster,Home & Kitchen,,353.82,224.44,false
18,Air Fryer,Home & Kitchen,,318.44,162.45,true
19,Vacuum Cleaner,Home & Kitchen,,20.40,12.62,false
20,Food Storage Set,Home & Kitchen,,344.16,189.59,false
21,Yoga Mat,Sports & Outdoors,,299.77,208.31,false
22,Dumbbell Set,Sports & Outdoors,,193.70,77.61,false
23,Water Bottle,Sports & Outdoors,,393.39,259.30,false
24,Camping Tent,Sports & Outdoors,,74.40,50.21,true
25,Hiking Backpack,Sports & Outdoors,,157.60,84.15,false
26,Running Shoes,Sports & Outdoors,,122.89,62.78,true
27,Fitness Tracker,Sports & Outdoors,,65.87,36.34,false
28,Resistance Bands,Sports & Outdoors,,82.43,55.02,false
29,Bike Helmet,Sports & Outdoors,,34.87,20.51,false
30,Sleeping Bag,Sports & Outdoors,,190.99,97.33,false
31,Face Cleanser,Beauty & Personal Care,,136.27,62.90,false
32,Moisturizer,Beauty & Personal Care,,318.14,214.82,true
33,Shampoo,Beauty & Personal Care,,330.23,150.83,false
34,Conditioner,Beauty & Personal Care,,297.79,199.29,false
35,Body Lotion,Beauty & Personal Care,,335.83,134.86,false
36,Sunscreen,Beauty & Personal Care,,229.35,149.71,false
37,Lip Balm,Beauty & Personal Care,,258.60,126.91,false
38,Hair Dryer,Beauty & Personal Care,,200.72,101.31,false
39,Electric Toothbrush,Beauty & Personal Care,,49.89,28.52,false
40,Razor Set,Beauty & Personal Care,,226.87,158.37,false
41,Productivity Book,Books,,89.26,53.44,false
42,Fantasy Novel,Books,,309.17,177.36,false
43,Sci-Fi Novel,Books,,232.40,121.22,false
44,Cookbook,Books,,57.92,25.40,false
45,Self-Help Guide,Books,,382.91,229.59,false
46,Mystery Novel,Books,,252.91,163.56,false
47,Thriller Book,Books,,202.34,134.03,false
48,Biography,Books,,72.09,36.32,false
49,History Book,Books,,123.44,79.86,false
50,Programming Guide,Books,,311.33,172.16,false
51,Toaster 51,Home & Kitchen,,340.30,166.28,false
52,Stainless Steel Pan 52,Home & Kitchen,,51.91,26.85,false
53,Shampoo 53,Beauty & Personal Care,,200.65,84.41,false
54,Body Lotion 54,Beauty & Personal Care,,316.28,128.75,false
55,Yoga Mat 55,Sports & Outdoors,,396.81,225.64,false
56,Electric Kettle 56,Home & Kitchen,,372.10,254.40,false
57,Food Storage Set 57,Home & Kitchen,,140.14,97.72,false
58,Yoga Mat 58,Sports & Outdoors,,218.95,106.62,true
59,Bluetooth Speaker 59,Electronics,,213.06,113.50,false
60,USB-C Cable 60,Electronics,,275.96,183.91,false
61,Conditioner 61,Beauty & Personal Care,,175.74,73.05,false
62,Electric Kettle 62,Home & Kitchen,,78.99,39.53,false
63,Razor Set 63,Beauty & Personal Care,,199.37,128.70,false
64,Blender 64,Home & Kitchen,,245.58,153.11,false
65,Toaster 65,Home & Kitchen,,76.41,52.31,false
66,Dumbbell Set 66,Sports & Outdoors,,206.27,140.18,false
67,Noise-Cancelling Headphones 67,Electronics,,134.74,70.82,false
68,Kitchen Knife Set 68,Home & Kitchen,,277.33,161.50,false
69,Toaster 69,Home & Kitchen,,156.10,65.59,false
70,Running Shoes 70,Sports & Outdoors,,315.23,148.61,false
71,Mechanical Keyboard 71,Electronics,,167.32,78.72,false
72,Yoga Mat 72,Sports & Outdoors,,370.40,185.20,false
73,Ceramic Mug 73,Home & Kitchen,,222.38,149.20,false
74,Razor Set 74,Beauty & Personal Care,,224.24,139.01,false
75,Shampoo 75,Beauty & Personal Care,,347.15,165.53,false
76,Biography 76,Books,,297.26,156.24,false
77,Electric Toothbrush 77,Beauty & Personal Care,,338.07,137.78,false
78,Electric Kettle 78,Home & Kitchen,,33.23,23.21,false
79,Thriller Book 79,Books,,19.52,10.95,false
80,Yoga Mat 80,Sports & Outdoors,,392.68,214.44,false
81,Toaster 81,Home & Kitchen,,191.34,86.90,false
82,Bike Helmet 82,Sports & Outdoors,,278.93,174.01,false
83,Mystery Novel 83,Books,,80.10,41.29,false
84,Toaster 84,Home & Kitchen,,124.05,76.07,false
85,Stainless Steel Pan 85,Home & Kitchen,,114.41,66.34,false
86,Body Lotion 86,Beauty & Personal Care,,365.04,244.67,false
87,Blender 87,Home & Kitchen,,84.63,57.32,false
88,Razor Set 88,Beauty & Personal Care,,42.74,22.27,false
89,Programming Guide 89,Books,,285.99,162.37,false
90,Dumbbell Set 90,Sports & Outdoors,,206.30,98.42,false
91,USB-C Cable 91,Electronics,,371.67,256.55,false
92,Running Shoes 92,Sports & Outdoors,,50.16,24.47,false
93,Camping Tent 93,Sports & Outdoors,,28.93,12.39,false
94,USB-C Cable 94,Electronics,,66.86,38.55,false
95,Portable SSD 95,Electronics,,69.49,38.22,false
96,Webcam 96,Electronics,,264.06,165.76,true
97,Webcam 97,Electronics,,234.59,126.95,false
98,Biography 98,Books,,115.13,53.99,false
99,Vacuum Cleaner 99,Home & Kitchen,,283.04,154.24,false
100,Gaming Controller 100,Electronics,,371.65,236.95,false
101,Smartwatch 101,Electronics,,167.15,94.51,true
102,Biography 102,Books,,102.20,53.86,false
103,Vacuum Cleaner 103,Home & Kitchen,,252.38,153.61,true
104,Portable SSD 104,Electronics,,188.19,130.47,false
105,Mystery Novel 105,Books,,338.11,206.17,false
106,Programming Guide 106,Books,,66.50,29.85,false
107,Electric Toothbrush 107,Beauty & Personal Care,,65.37,42.30,false
108,Conditioner 108,Beauty & Personal Care,,261.20,122.11,false
109,Gaming Controller 109,Electronics,,97.22,52.52,false
110,Vacuum Cleaner 110,Home & Kitchen,,326.74,203.75,false
111,Productivity Book 111,Books,,225.30,143.96,false
112,Conditioner 112,Beauty & Personal Care,,121.23,81.21,false
113,Laptop Stand 113,Electronics,,75.33,33.85,false
114,Blender 114,Home & Kitchen,,156.49,84.21,false
115,Bike Helmet 115,Sports & Outdoors,,353.64,186.51,false
