session_id,customer_id,session_start,device_type,traffic_source,landed_on_page
1,916,2020-08-29 15:04:59,tablet,Direct,checkout
2,442,2024-02-12 05:16:58,mobile,Email,home
3,1519,2023-08-10 17:55:37,desktop,Direct,search
4,1348,2022-04-09 23:15:10,mobile,Organic Search,search
5,283,2020-08-24 07:02:05,tablet,Paid Social,cart
6,98,2023-05-09 15:17:08,mobile,Organic Search,product
7,1349,2021-01-18 08:39:33,mobile,Direct,search
8,731,2020-01-14 00:13:15,mobile,Direct,cart
9,176,2020-09-03 15:56:25,mobile,Direct,home
10,1108,2024-08-24 13:06:09,mobile,Direct,checkout
11,1769,2021-11-17 03:44:21,tablet,Ads,search
12,1922,2024-11-08 20:56:00,mobile,Paid Social,home
13,64,2022-09-30 03:17:11,tablet,Email,checkout
14,144,2024-04-08 14:18:47,desktop,Direct,product
15,690,2022-03-10 02:44:13,mobile,Push Notification,product
16,1060,2023-03-22 09:51:02,desktop,Direct,product
17,1243,2023-08-17 23:01:41,mobile,Organic Search,home
18,353,2020-08-22 18:09:52,mobile,Direct,home
19,652,2022-10-11 04:32:44,mobile,Email,product
20,1289,2023-10-10 01:52:42,mobile,Paid Social,search
21,354,2020-07-13 20:32:12,tablet,Email,checkout
22,1413,2020-09-22 03:21:24,desktop,Organic Search,search
23,1468,2020-07-30 11:29:52,tablet,Organic Search,cart
24,155,2023-02-27 12:06:42,desktop,Ads,cart
25,544,2023-02-14 23:00:00,tablet,Organic Search,checkout
26,1754,2021-12-02 06:34:42,tablet,Ads,checkout
27,514,2023-07-25 17:21:42,tablet,Ads,search
28,428,2024-03-27 07:43:29,mobile,Push Notification,checkout
29,1501,2023-01-18 01:08:44,desktop,Organic Search,product
30,1281,2024-03-26 06:10:46,mobile,Direct,home
31,1370,2022-12-14 13:18:14,desktop,Email,cart
32,1508,2022-05-06 01:56:50,desktop,Push Notification,home
33,1238,2023-01-18 21:22:15,desktop,Email,checkout
34,1755,2021-09-24 10:20:06,desktop,Direct,checkout
35,480,2020-07-01 22:44:07,mobile,Organic Search,home
36,1589,2024-10-22 22:58:48,mobile,Push Notification,checkout
37,1549,2022-10-07 07:40:06,mobile,Paid Social,product
38,956,2023-11-02 17:53:15,desktop,Push Notification,search
39,1963,2020-09-18 14:28:21,desktop,Direct,product
40,1118,2024-08-13 00:10:02,mobile,Email,cart
41,1147,2020-05-10 11:39:17,tablet,Paid Social,home
42,1304,2023-09-26 23:35:57,desktop,Push Notification,product
43,814,2021-06-06 12:15:49,tablet,Direct,checkout
44,810,2024-06-24 19:47:15,mobile,Organic Search,checkout
45,224,2024-04-13 02:51:32,desktop,Email,checkout
46,46,2021-11-08 11:10:12,tablet,Email,home
47,1598,2023-04-06 18:48:59,desktop,Push Notification,search
48,500,2020-05-13 03:16:57,tablet,Push Notification,search
49,731,2020-01-10 22:57:15,mobile,Direct,cart
50,874,2021-11-26 08:06:31,desktop,Push Notification,search
51,1376,2021-07-10 16:22:35,mobile,Ads,product
52,1647,2023-04-30 13:26:27,tablet,Direct,home
53,610,2020-10-24 06:07:46,tablet,Organic Search,home
54,1085,2021-05-23 01:27:17,mobile,Ads,search
55,168,2023-02-11 14:11:30,mobile,Direct,search
56,1125,2022-09-11 00:12:50,desktop,Organic Search,product
57,717,2023-05-06 11:38:31,mobile,Email,home
58,1397,2021-05-06 07:13:44,mobile,Push Notification,checkout
59,1997,2024-05-04 01:29:22,desktop,Organic Search,cart
60,1873,2023-12-08 22:23:45,tablet,Direct,checkout
61,1219,2021-04-01 18:38:41,mobile,Ads,home
62,765,2020-12-24 20:58:37,mobile,Direct,checkout
63,371,2020-06-16 07:04:02,tablet,Email,search
64,141,2022-04-11 06:41:26,mobile,Organic Search,product
65,871,2022-07-30 05:18:10,tablet,Ads,home
66,515,2022-09-29 21:45:36,desktop,Direct,cart
67,858,2024-11-06 12:44:30,desktop,Email,home
68,446,2021-05-28 04:17:47,tablet,Email,checkout
